Model,RMSE,MSE,MAE,MBE,R²,MAPE,Accuracy %,Acc_10%,Acc_20%
Option B: BiLSTM Neural Net,675.0508582672112,455693.6612472984,345.86564530865354,-0.8757319355633244,0.8516919255137554,98.99177204083085,1.0082279591691474,33.43813026456282,55.69462569699846
Option C: UniLSTM Neural Net,682.4193238339939,465696.1335420454,350.2824609147629,-53.43369543910323,0.8484365644405389,94.4146643590382,5.585335640961802,33.09407996203583,56.11579072250563
Option A: MLP Embeddings,687.5888734406077,472778.45887932397,350.7545824728987,-15.367012952342263,0.846131581679133,88.14902459215071,11.85097540784929,33.883022897140826,56.75050421165025
Option A: Stacking Hybrid,687.8131198200663,473086.8877966128,356.0713360834085,57.0546914308207,0.8460312017468914,96.78863220536147,3.2113677946385337,33.21864989915767,55.52853244750266
Option A: Random Forest,690.1324756283379,476282.83391689847,350.43112054399256,2.4608744771139914,0.8449910630406299,105.63996328731038,0.0,35.90580139992882,57.04116739826789
Option C: UniLSTM-XGBoost Hybrid,717.2109282833413,514391.51564905216,366.42700975844184,14.601348092453325,0.83258837744383,98.75985657196294,1.240143428037058,33.43813026456282,55.261596867955866
Option B: BiLSTM-XGBoost Hybrid,720.0576794428517,518483.06172462465,367.27758551207137,23.1347600360363,0.8312567606763749,99.63172839873027,0.3682716012697256,33.17119468501601,55.0243207972476
Option A: XGBoost,722.4619313074278,521951.24218845845,370.3290422888116,46.45810271177701,0.8301280217662173,109.12648533540086,0.0,33.35508363981493,55.45141772452248
