Model,RMSE,MSE,MAE,MBE,R²,MAPE,Accuracy %,Acc_10%,Acc_20%
Option C: UniLSTM Neural Net,11967.31415147108,143216608.0,5489.40673828125,248.38100419816809,0.9845564365386963,11.198324623392079,88.80167537660792,72.02675196277988,87.90346030822913
Option B: BiLSTM Neural Net,12106.153807052015,146558960.0,5585.6748046875,-401.08545929957836,0.9841960072517395,14.427174022166339,85.57282597783366,66.53096830473974,82.00058156440826
Option A: Stacking Hybrid,12327.534708608628,151968111.99195042,5481.358514137391,-233.5063835908897,0.9836127018016968,11.690412019865818,88.30958798013418,71.38703111369584,86.56586216923525
Option C: UniLSTM-XGBoost Hybrid,13662.196602303746,186655616.0,6489.70654296875,-1800.0545898153532,0.9798722267150879,10.547032946117033,89.45296705388297,70.54376272172142,88.48502471648735
Option A: Random Forest,13697.632802442107,187625144.390538,5542.895847354908,-775.0160775426488,0.9797676686883475,8.39598496621463,91.60401503378537,79.64524571096248,90.63681302704273
Option B: BiLSTM-XGBoost Hybrid,13972.668177552918,195235456.0,6353.80517578125,-1335.6677211307792,0.9789470434188843,10.428311401200725,89.57168859879927,72.84094213434138,88.39779005524862
Option A: XGBoost,14409.495758006246,207633568.0,5937.8505859375,-1436.3575110406368,0.9776101112365723,8.839298377326434,91.16070162267357,78.22041291072986,90.66589124745565
Option A: MLP Embeddings,14475.009637302492,209525904.0,9438.39453125,1157.1210869347922,0.9774060249328613,36.97830593443986,63.02169406556014,47.57196859552195,64.78627507996511
